drawing_id,drawing_timestamp,user_id,valence,arousal,trial_index,points,participant_created_at,consent_version,gender,age_group,handedness,device_type,withdraw_status,withdraw_reason,withdraw_created_at
1,2025-09-10T11:38:57,Jzxa1phq,8,-6,1,"[{""x"":268.2692307692308,""y"":390.86538461538464},{""x"":268.2692307692308,""y"":390.86538461538464},{""x"":266.34615384615387,""y"":390.86538461538464},{""x"":263.46153846153845,""y"":390.86538461538464},{""x"":259.61538461538464,""y"":390.86538461538464},{""x"":254.80769230769232,""y"":390.86538461538464},{""x"":249.03846153846155,""y"":390.86538461538464},{""x"":244.23076923076923,""y"":389.9038461538462},{""x"":239.42307692307693,""y"":388.9423076923077},{""x"":234.6153846153846,""y"":387.9807692307692},{""x"":228.84615384615384,""y"":385.09615384615387},{""x"":224.03846153846155,""y"":383.1730769230769},{""x"":221.15384615384616,""y"":381.25},{""x"":217.30769230769232,""y"":379.3269230769231},{""x"":213.46153846153848,""y"":376.4423076923077},{""x"":209.6153846153846,""y"":373.5576923076923},{""x"":204.80769230769232,""y"":370.6730769230769},{""x"":200,""y"":366.8269230769231},{""x"":195.1923076923077,""y"":362.9807692307692},{""x"":190.3846153846154,""y"":358.1730769230769},{""x"":183.65384615384616,""y"":350.4807692307692},{""x"":176.92307692307693,""y"":340.86538461538464},{""x"":171.15384615384616,""y"":328.36538461538464},{""x"":166.34615384615384,""y"":314.9038461538462},{""x"":163.46153846153845,""y"":302.4038461538462},{""x"":162.5,""y"":290.86538461538464},{""x"":162.5,""y"":278.36538461538464},{""x"":164.42307692307693,""y"":265.86538461538464},{""x"":169.23076923076923,""y"":253.3653846153846},{""x"":177.8846153846154,""y"":240.8653846153846},{""x"":188.46153846153845,""y"":227.40384615384616},{""x"":200,""y"":215.8653846153846},{""x"":212.5,""y"":206.25},{""x"":226.92307692307693,""y"":196.6346153846154},{""x"":240.3846153846154,""y"":187.98076923076923},{""x"":251.92307692307693,""y"":181.25},{""x"":264.4230769230769,""y"":175.48076923076923},{""x"":275,""y"":171.6346153846154},{""x"":285.5769230769231,""y"":168.75},{""x"":296.1538461538462,""y"":166.8269230769231},{""x"":306.7307692307692,""y"":164.90384615384616},{""x"":319.2307692307692,""y"":164.90384615384616},{""x"":331.7307692307692,""y"":164.90384615384616},{""x"":344.2307692307692,""y"":166.8269230769231},{""x"":353.84615384615387,""y"":170.67307692307693},{""x"":362.5,""y"":175.48076923076923},{""x"":370.1923076923077,""y"":180.28846153846155},{""x"":375.96153846153845,""y"":185.09615384615384},{""x"":381.7307692307692,""y"":190.8653846153846},{""x"":385.5769230769231,""y"":197.59615384615384},{""x"":389.4230769230769,""y"":205.28846153846155},{""x"":391.34615384615387,""y"":213.9423076923077},{""x"":394.2307692307692,""y"":222.59615384615384},{""x"":395.1923076923077,""y"":231.25},{""x"":396.1538461538462,""y"":240.8653846153846},{""x"":397.11538461538464,""y"":249.51923076923077},{""x"":397.11538461538464,""y"":258.1730769230769},{""x"":397.11538461538464,""y"":265.86538461538464},{""x"":396.1538461538462,""y"":273.5576923076923},{""x"":393.2692307692308,""y"":280.28846153846155},{""x"":390.3846153846154,""y"":287.9807692307692},{""x"":386.53846153846155,""y"":294.71153846153845},{""x"":381.7307692307692,""y"":302.4038461538462},{""x"":375.96153846153845,""y"":311.0576923076923},{""x"":369.2307692307692,""y"":317.78846153846155},{""x"":362.5,""y"":325.4807692307692},{""x"":355.7692307692308,""y"":333.1730769230769},{""x"":348.0769230769231,""y"":339.9038461538462},{""x"":341.34615384615387,""y"":346.6346153846154},{""x"":333.6538461538462,""y"":353.36538461538464},{""x"":325.96153846153845,""y"":359.1346153846154},{""x"":318.2692307692308,""y"":364.9038461538462},{""x"":310.5769230769231,""y"":369.71153846153845},{""x"":303.84615384615387,""y"":373.5576923076923},{""x"":297.11538461538464,""y"":376.4423076923077},{""x"":290.3846153846154,""y"":379.3269230769231},{""x"":283.6538461538462,""y"":382.21153846153845},{""x"":277.8846153846154,""y"":383.1730769230769},{""x"":273.0769230769231,""y"":384.1346153846154},{""x"":267.3076923076923,""y"":385.09615384615387},{""x"":262.5,""y"":386.0576923076923},{""x"":257.6923076923077,""y"":386.0576923076923},{""x"":253.84615384615384,""y"":387.0192307692308},{""x"":250,""y"":387.0192307692308},{""x"":247.1153846153846,""y"":387.9807692307692},{""x"":245.1923076923077,""y"":387.9807692307692},{""x"":242.30769230769232,""y"":388.9423076923077},{""x"":240.3846153846154,""y"":388.9423076923077},{""x"":238.46153846153848,""y"":388.9423076923077},{""x"":237.5,""y"":388.9423076923077}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
2,2025-09-10T11:39:00,Jzxa1phq,0,7,2,"[{""x"":263.46153846153845,""y"":388.46153846153845},{""x"":262.5,""y"":388.46153846153845},{""x"":258.6538461538462,""y"":388.46153846153845},{""x"":250,""y"":388.46153846153845},{""x"":237.5,""y"":388.46153846153845},{""x"":221.15384615384616,""y"":388.46153846153845},{""x"":201.92307692307693,""y"":387.5},{""x"":181.73076923076923,""y"":383.6538461538462},{""x"":161.53846153846155,""y"":376.9230769230769},{""x"":142.30769230769232,""y"":365.3846153846154},{""x"":123.07692307692308,""y"":350},{""x"":104.8076923076923,""y"":327.8846153846154},{""x"":88.46153846153847,""y"":303.84615384615387},{""x"":77.88461538461539,""y"":278.84615384615387},{""x"":72.11538461538461,""y"":254.80769230769232},{""x"":70.1923076923077,""y"":231.73076923076923},{""x"":72.11538461538461,""y"":209.6153846153846},{""x"":80.76923076923077,""y"":188.46153846153845},{""x"":97.11538461538461,""y"":167.30769230769232},{""x"":117.3076923076923,""y"":145.1923076923077},{""x"":141.34615384615384,""y"":125},{""x"":168.26923076923077,""y"":105.76923076923077},{""x"":196.15384615384616,""y"":89.42307692307692},{""x"":224.03846153846155,""y"":77.88461538461539},{""x"":250,""y"":73.07692307692308},{""x"":276.9230769230769,""y"":72.11538461538461},{""x"":301.9230769230769,""y"":75.96153846153847},{""x"":325,""y"":87.5},{""x"":344.2307692307692,""y"":100.96153846153847},{""x"":358.6538461538462,""y"":117.3076923076923},{""x"":369.2307692307692,""y"":136.53846153846155},{""x"":376.9230769230769,""y"":156.73076923076923},{""x"":379.8076923076923,""y"":178.84615384615384},{""x"":380.7692307692308,""y"":200.96153846153845},{""x"":379.8076923076923,""y"":221.15384615384616},{""x"":376.9230769230769,""y"":239.42307692307693},{""x"":373.0769230769231,""y"":256.7307692307692},{""x"":368.2692307692308,""y"":272.11538461538464},{""x"":364.4230769230769,""y"":283.6538461538462},{""x"":359.61538461538464,""y"":294.2307692307692},{""x"":353.84615384615387,""y"":303.84615384615387},{""x"":347.11538461538464,""y"":314.4230769230769},{""x"":337.5,""y"":324.03846153846155},{""x"":325,""y"":333.6538461538462},{""x"":310.5769230769231,""y"":343.2692307692308},{""x"":297.11538461538464,""y"":350},{""x"":282.6923076923077,""y"":355.7692307692308},{""x"":268.2692307692308,""y"":361.53846153846155},{""x"":255.76923076923077,""y"":366.34615384615387},{""x"":248.0769230769231,""y"":370.1923076923077},{""x"":242.30769230769232,""y"":373.0769230769231},{""x"":237.5,""y"":375.96153846153845},{""x"":233.65384615384616,""y"":377.8846153846154},{""x"":228.84615384615384,""y"":380.7692307692308},{""x"":225.96153846153848,""y"":383.6538461538462},{""x"":222.1153846153846,""y"":385.5769230769231},{""x"":217.30769230769232,""y"":387.5},{""x"":213.46153846153848,""y"":389.4230769230769},{""x"":210.5769230769231,""y"":391.34615384615387},{""x"":207.6923076923077,""y"":392.3076923076923},{""x"":205.76923076923077,""y"":393.2692307692308}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
3,2025-09-10T11:39:04,Jzxa1phq,5,-6,3,"[{""x"":290.3846153846154,""y"":393.2692307692308},{""x"":289.4230769230769,""y"":393.2692307692308},{""x"":285.5769230769231,""y"":393.2692307692308},{""x"":278.84615384615387,""y"":393.2692307692308},{""x"":266.34615384615387,""y"":393.2692307692308},{""x"":245.1923076923077,""y"":390.3846153846154},{""x"":217.30769230769232,""y"":378.84615384615387},{""x"":187.5,""y"":351.9230769230769},{""x"":159.6153846153846,""y"":308.6538461538462},{""x"":141.34615384615384,""y"":262.5},{""x"":131.73076923076923,""y"":221.15384615384616},{""x"":128.84615384615384,""y"":185.5769230769231},{""x"":138.46153846153845,""y"":155.76923076923077},{""x"":163.46153846153845,""y"":126.92307692307692},{""x"":202.8846153846154,""y"":102.88461538461539},{""x"":254.80769230769232,""y"":85.57692307692308},{""x"":312.5,""y"":78.84615384615385},{""x"":360.5769230769231,""y"":78.84615384615385},{""x"":397.11538461538464,""y"":86.53846153846155},{""x"":425,""y"":100.96153846153847},{""x"":440.3846153846154,""y"":117.3076923076923},{""x"":447.11538461538464,""y"":141.34615384615384},{""x"":447.11538461538464,""y"":175.96153846153845},{""x"":436.53846153846155,""y"":219.23076923076923},{""x"":420.1923076923077,""y"":262.5},{""x"":401.9230769230769,""y"":300},{""x"":380.7692307692308,""y"":334.61538461538464},{""x"":358.6538461538462,""y"":365.3846153846154},{""x"":341.34615384615387,""y"":384.61538461538464},{""x"":326.9230769230769,""y"":397.11538461538464},{""x"":317.3076923076923,""y"":403.84615384615387},{""x"":310.5769230769231,""y"":407.6923076923077},{""x"":306.7307692307692,""y"":409.61538461538464}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
4,2025-09-10T11:55:14,Jzxa1phq,0,-3,1,"[{""x"":235.5769230769231,""y"":443.75},{""x"":234.6153846153846,""y"":443.75},{""x"":233.65384615384616,""y"":443.75},{""x"":228.84615384615384,""y"":443.75},{""x"":220.1923076923077,""y"":443.75},{""x"":207.6923076923077,""y"":443.75},{""x"":188.46153846153845,""y"":437.9807692307692},{""x"":165.3846153846154,""y"":426.4423076923077},{""x"":145.1923076923077,""y"":411.0576923076923},{""x"":123.07692307692308,""y"":389.9038461538462},{""x"":103.84615384615385,""y"":362.9807692307692},{""x"":89.42307692307692,""y"":333.1730769230769},{""x"":80.76923076923077,""y"":303.36538461538464},{""x"":75.96153846153847,""y"":276.4423076923077},{""x"":75.96153846153847,""y"":251.4423076923077},{""x"":82.6923076923077,""y"":227.40384615384616},{""x"":100,""y"":199.51923076923077},{""x"":127.88461538461539,""y"":167.78846153846155},{""x"":155.76923076923077,""y"":143.75},{""x"":186.53846153846155,""y"":121.63461538461539},{""x"":222.1153846153846,""y"":98.5576923076923},{""x"":256.7307692307692,""y"":81.25},{""x"":292.3076923076923,""y"":68.75},{""x"":326.9230769230769,""y"":60.09615384615385},{""x"":358.6538461538462,""y"":58.17307692307693},{""x"":385.5769230769231,""y"":59.13461538461539},{""x"":408.6538461538462,""y"":65.86538461538461},{""x"":426.92307692307696,""y"":79.32692307692308},{""x"":443.2692307692308,""y"":96.63461538461539},{""x"":455.7692307692308,""y"":112.98076923076924},{""x"":465.3846153846154,""y"":132.21153846153845},{""x"":473.0769230769231,""y"":154.3269230769231},{""x"":475.96153846153845,""y"":173.55769230769232},{""x"":476.92307692307696,""y"":189.90384615384616},{""x"":476.92307692307696,""y"":205.28846153846155},{""x"":476.92307692307696,""y"":219.71153846153848},{""x"":475,""y"":234.1346153846154},{""x"":472.11538461538464,""y"":247.59615384615384},{""x"":468.2692307692308,""y"":261.0576923076923},{""x"":462.5,""y"":274.5192307692308},{""x"":455.7692307692308,""y"":287.0192307692308},{""x"":431.7307692307692,""y"":317.78846153846155},{""x"":419.2307692307692,""y"":331.25},{""x"":407.6923076923077,""y"":343.75},{""x"":395.1923076923077,""y"":356.25},{""x"":380.7692307692308,""y"":370.6730769230769},{""x"":367.3076923076923,""y"":383.1730769230769},{""x"":355.7692307692308,""y"":392.78846153846155},{""x"":344.2307692307692,""y"":402.4038461538462},{""x"":331.7307692307692,""y"":411.0576923076923},{""x"":320.1923076923077,""y"":418.75},{""x"":309.61538461538464,""y"":424.5192307692308},{""x"":298.0769230769231,""y"":429.3269230769231},{""x"":286.53846153846155,""y"":434.1346153846154},{""x"":275,""y"":437.0192307692308},{""x"":263.46153846153845,""y"":438.9423076923077},{""x"":250.96153846153848,""y"":438.9423076923077},{""x"":239.42307692307693,""y"":438.9423076923077},{""x"":228.84615384615384,""y"":437.9807692307692},{""x"":219.23076923076923,""y"":434.1346153846154},{""x"":211.53846153846155,""y"":430.28846153846155},{""x"":204.80769230769232,""y"":426.4423076923077},{""x"":200.96153846153845,""y"":423.5576923076923},{""x"":198.0769230769231,""y"":421.6346153846154},{""x"":196.15384615384616,""y"":419.71153846153845},{""x"":194.23076923076923,""y"":418.75},{""x"":193.26923076923077,""y"":417.78846153846155},{""x"":192.30769230769232,""y"":416.8269230769231},{""x"":191.34615384615384,""y"":415.86538461538464},{""x"":191.34615384615384,""y"":415.86538461538464},{""x"":191.34615384615384,""y"":414.9038461538462},{""x"":191.34615384615384,""y"":414.9038461538462},{""x"":191.34615384615384,""y"":414.9038461538462},{""x"":191.34615384615384,""y"":413.9423076923077}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
5,2025-09-10T11:55:16,Jzxa1phq,-2,8,2,"[{""x"":246.15384615384616,""y"":385.09615384615387},{""x"":245.1923076923077,""y"":385.09615384615387},{""x"":241.34615384615384,""y"":385.09615384615387},{""x"":231.73076923076923,""y"":385.09615384615387},{""x"":219.23076923076923,""y"":385.09615384615387},{""x"":202.8846153846154,""y"":384.1346153846154},{""x"":186.53846153846155,""y"":380.28846153846155},{""x"":170.1923076923077,""y"":371.6346153846154},{""x"":157.6923076923077,""y"":361.0576923076923},{""x"":149.03846153846155,""y"":347.59615384615387},{""x"":143.26923076923077,""y"":330.28846153846155},{""x"":142.30769230769232,""y"":307.21153846153845},{""x"":142.30769230769232,""y"":280.28846153846155},{""x"":143.26923076923077,""y"":257.21153846153845},{""x"":150,""y"":238.9423076923077},{""x"":161.53846153846155,""y"":218.75},{""x"":175.96153846153845,""y"":203.3653846153846},{""x"":193.26923076923077,""y"":191.8269230769231},{""x"":213.46153846153848,""y"":182.21153846153845},{""x"":235.5769230769231,""y"":175.48076923076923},{""x"":259.61538461538464,""y"":172.59615384615384},{""x"":285.5769230769231,""y"":172.59615384615384},{""x"":313.46153846153845,""y"":180.28846153846155},{""x"":342.3076923076923,""y"":196.6346153846154},{""x"":369.2307692307692,""y"":219.71153846153848},{""x"":392.3076923076923,""y"":246.6346153846154},{""x"":407.6923076923077,""y"":273.5576923076923},{""x"":414.42307692307696,""y"":292.78846153846155},{""x"":416.34615384615387,""y"":310.09615384615387},{""x"":416.34615384615387,""y"":325.4807692307692},{""x"":412.5,""y"":337.9807692307692},{""x"":402.8846153846154,""y"":350.4807692307692},{""x"":390.3846153846154,""y"":361.0576923076923},{""x"":375.96153846153845,""y"":370.6730769230769},{""x"":359.61538461538464,""y"":377.4038461538462},{""x"":345.1923076923077,""y"":382.21153846153845},{""x"":328.84615384615387,""y"":387.0192307692308},{""x"":311.53846153846155,""y"":390.86538461538464},{""x"":297.11538461538464,""y"":393.75},{""x"":284.61538461538464,""y"":395.6730769230769},{""x"":274.03846153846155,""y"":397.59615384615387},{""x"":264.4230769230769,""y"":398.5576923076923},{""x"":255.76923076923077,""y"":398.5576923076923},{""x"":246.15384615384616,""y"":398.5576923076923},{""x"":236.53846153846155,""y"":396.6346153846154},{""x"":227.8846153846154,""y"":391.8269230769231},{""x"":220.1923076923077,""y"":388.9423076923077},{""x"":215.3846153846154,""y"":385.09615384615387}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
6,2025-09-10T11:55:20,Jzxa1phq,10,8,3,"[{""x"":263.46153846153845,""y"":404.3269230769231},{""x"":263.46153846153845,""y"":404.3269230769231},{""x"":260.5769230769231,""y"":404.3269230769231},{""x"":251.92307692307693,""y"":404.3269230769231},{""x"":239.42307692307693,""y"":404.3269230769231},{""x"":222.1153846153846,""y"":404.3269230769231},{""x"":204.80769230769232,""y"":401.4423076923077},{""x"":187.5,""y"":393.75},{""x"":166.34615384615384,""y"":375.4807692307692},{""x"":147.1153846153846,""y"":347.59615384615387},{""x"":138.46153846153845,""y"":320.6730769230769},{""x"":136.53846153846155,""y"":290.86538461538464},{""x"":136.53846153846155,""y"":260.09615384615387},{""x"":142.30769230769232,""y"":233.17307692307693},{""x"":154.80769230769232,""y"":212.01923076923077},{""x"":179.80769230769232,""y"":188.9423076923077},{""x"":207.6923076923077,""y"":170.67307692307693},{""x"":236.53846153846155,""y"":159.1346153846154},{""x"":269.2307692307692,""y"":152.40384615384616},{""x"":298.0769230769231,""y"":150.48076923076923},{""x"":324.03846153846155,""y"":157.21153846153845},{""x"":348.0769230769231,""y"":174.51923076923077},{""x"":370.1923076923077,""y"":199.51923076923077},{""x"":388.46153846153845,""y"":231.25},{""x"":402.8846153846154,""y"":265.86538461538464},{""x"":410.5769230769231,""y"":298.5576923076923},{""x"":413.46153846153845,""y"":326.4423076923077},{""x"":414.42307692307696,""y"":348.5576923076923},{""x"":410.5769230769231,""y"":364.9038461538462},{""x"":400.96153846153845,""y"":382.21153846153845},{""x"":387.5,""y"":394.71153846153845},{""x"":374.03846153846155,""y"":401.4423076923077},{""x"":359.61538461538464,""y"":406.25},{""x"":342.3076923076923,""y"":410.09615384615387},{""x"":325.96153846153845,""y"":413.9423076923077},{""x"":309.61538461538464,""y"":416.8269230769231},{""x"":296.1538461538462,""y"":421.6346153846154},{""x"":282.6923076923077,""y"":424.5192307692308},{""x"":271.1538461538462,""y"":427.4038461538462},{""x"":257.6923076923077,""y"":428.36538461538464},{""x"":243.26923076923077,""y"":427.4038461538462},{""x"":230.76923076923077,""y"":422.59615384615387},{""x"":220.1923076923077,""y"":413.9423076923077},{""x"":212.5,""y"":405.28846153846155}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
7,2025-09-10T11:55:23,Jzxa1phq,8,4,4,"[{""x"":199.03846153846155,""y"":316.8269230769231},{""x"":183.65384615384616,""y"":314.9038461538462},{""x"":159.6153846153846,""y"":312.0192307692308},{""x"":145.1923076923077,""y"":307.21153846153845},{""x"":134.6153846153846,""y"":300.4807692307692},{""x"":125.96153846153847,""y"":289.9038461538462},{""x"":121.15384615384616,""y"":268.75},{""x"":119.23076923076924,""y"":245.67307692307693},{""x"":119.23076923076924,""y"":223.55769230769232},{""x"":119.23076923076924,""y"":201.4423076923077},{""x"":123.07692307692308,""y"":184.1346153846154},{""x"":131.73076923076923,""y"":169.71153846153845},{""x"":145.1923076923077,""y"":158.17307692307693},{""x"":161.53846153846155,""y"":149.51923076923077},{""x"":178.84615384615384,""y"":142.78846153846155},{""x"":197.1153846153846,""y"":137.98076923076923},{""x"":217.30769230769232,""y"":137.01923076923077},{""x"":238.46153846153848,""y"":137.01923076923077},{""x"":260.5769230769231,""y"":142.78846153846155},{""x"":283.6538461538462,""y"":154.3269230769231},{""x"":305.7692307692308,""y"":171.6346153846154},{""x"":325.96153846153845,""y"":194.71153846153845},{""x"":342.3076923076923,""y"":219.71153846153848},{""x"":351.9230769230769,""y"":241.8269230769231},{""x"":357.6923076923077,""y"":262.0192307692308},{""x"":361.53846153846155,""y"":286.0576923076923},{""x"":361.53846153846155,""y"":309.1346153846154},{""x"":355.7692307692308,""y"":330.28846153846155},{""x"":344.2307692307692,""y"":351.4423076923077},{""x"":328.84615384615387,""y"":370.6730769230769},{""x"":309.61538461538464,""y"":387.0192307692308},{""x"":286.53846153846155,""y"":400.4807692307692},{""x"":259.61538461538464,""y"":412.0192307692308},{""x"":230.76923076923077,""y"":420.67307692307696},{""x"":200.96153846153845,""y"":426.4423076923077},{""x"":172.1153846153846,""y"":427.4038461538462},{""x"":146.15384615384616,""y"":422.59615384615387},{""x"":125,""y"":411.0576923076923},{""x"":109.61538461538461,""y"":397.59615384615387},{""x"":100.96153846153847,""y"":387.0192307692308},{""x"":97.11538461538461,""y"":381.25}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
8,2025-09-10T11:55:25,Jzxa1phq,-8,7,5,"[{""x"":241.34615384615384,""y"":316.8269230769231},{""x"":241.34615384615384,""y"":316.8269230769231},{""x"":239.42307692307693,""y"":316.8269230769231},{""x"":234.6153846153846,""y"":316.8269230769231},{""x"":225,""y"":316.8269230769231},{""x"":210.5769230769231,""y"":315.86538461538464},{""x"":189.42307692307693,""y"":309.1346153846154},{""x"":164.42307692307693,""y"":291.8269230769231},{""x"":142.30769230769232,""y"":268.75},{""x"":126.92307692307692,""y"":242.78846153846155},{""x"":118.26923076923077,""y"":215.8653846153846},{""x"":115.38461538461539,""y"":178.3653846153846},{""x"":118.26923076923077,""y"":135.09615384615384},{""x"":127.88461538461539,""y"":98.5576923076923},{""x"":151.92307692307693,""y"":60.09615384615385},{""x"":184.6153846153846,""y"":26.442307692307693},{""x"":213.46153846153848,""y"":10.096153846153847},{""x"":246.15384615384616,""y"":0.4807692307692308}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
9,2025-09-10T11:55:27,Jzxa1phq,1,-5,6,"[{""x"":219.23076923076923,""y"":333.1730769230769},{""x"":219.23076923076923,""y"":333.1730769230769},{""x"":217.30769230769232,""y"":333.1730769230769},{""x"":210.5769230769231,""y"":333.1730769230769},{""x"":200.96153846153845,""y"":333.1730769230769},{""x"":187.5,""y"":332.21153846153845},{""x"":169.23076923076923,""y"":326.4423076923077},{""x"":148.0769230769231,""y"":312.9807692307692},{""x"":128.84615384615384,""y"":288.9423076923077},{""x"":117.3076923076923,""y"":261.0576923076923},{""x"":113.46153846153847,""y"":233.17307692307693},{""x"":112.5,""y"":205.28846153846155},{""x"":118.26923076923077,""y"":182.21153846153845},{""x"":137.5,""y"":159.1346153846154},{""x"":168.26923076923077,""y"":137.98076923076923},{""x"":200,""y"":122.59615384615385},{""x"":233.65384615384616,""y"":112.01923076923077},{""x"":269.2307692307692,""y"":105.28846153846155},{""x"":303.84615384615387,""y"":102.40384615384616},{""x"":339.4230769230769,""y"":111.0576923076923},{""x"":373.0769230769231,""y"":134.1346153846154},{""x"":397.11538461538464,""y"":168.75},{""x"":411.53846153846155,""y"":212.98076923076923},{""x"":418.2692307692308,""y"":256.25},{""x"":418.2692307692308,""y"":292.78846153846155},{""x"":412.5,""y"":322.59615384615387},{""x"":400.96153846153845,""y"":342.78846153846155},{""x"":381.7307692307692,""y"":359.1346153846154},{""x"":351.9230769230769,""y"":374.5192307692308},{""x"":317.3076923076923,""y"":385.09615384615387},{""x"":281.7307692307692,""y"":389.9038461538462},{""x"":250,""y"":391.8269230769231},{""x"":225.96153846153848,""y"":391.8269230769231},{""x"":205.76923076923077,""y"":387.9807692307692},{""x"":192.30769230769232,""y"":381.25}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
10,2025-09-10T11:55:29,Jzxa1phq,4,2,7,"[{""x"":266.34615384615387,""y"":353.36538461538464},{""x"":265.3846153846154,""y"":353.36538461538464},{""x"":260.5769230769231,""y"":353.36538461538464},{""x"":251.92307692307693,""y"":353.36538461538464},{""x"":237.5,""y"":353.36538461538464},{""x"":218.26923076923077,""y"":351.4423076923077},{""x"":196.15384615384616,""y"":346.6346153846154},{""x"":174.03846153846155,""y"":336.0576923076923},{""x"":153.84615384615384,""y"":322.59615384615387},{""x"":136.53846153846155,""y"":304.3269230769231},{""x"":124.03846153846155,""y"":278.36538461538464},{""x"":117.3076923076923,""y"":242.78846153846155},{""x"":117.3076923076923,""y"":208.17307692307693},{""x"":125,""y"":178.3653846153846},{""x"":145.1923076923077,""y"":147.59615384615384},{""x"":173.0769230769231,""y"":123.5576923076923},{""x"":202.8846153846154,""y"":109.13461538461539},{""x"":235.5769230769231,""y"":100.48076923076923},{""x"":267.3076923076923,""y"":98.5576923076923},{""x"":298.0769230769231,""y"":102.40384615384616},{""x"":331.7307692307692,""y"":118.75},{""x"":362.5,""y"":146.6346153846154},{""x"":381.7307692307692,""y"":176.4423076923077},{""x"":392.3076923076923,""y"":210.09615384615384},{""x"":397.11538461538464,""y"":244.71153846153848},{""x"":397.11538461538464,""y"":275.4807692307692},{""x"":390.3846153846154,""y"":301.4423076923077},{""x"":377.8846153846154,""y"":323.5576923076923},{""x"":360.5769230769231,""y"":342.78846153846155},{""x"":340.3846153846154,""y"":359.1346153846154},{""x"":319.2307692307692,""y"":371.6346153846154},{""x"":300,""y"":380.28846153846155},{""x"":282.6923076923077,""y"":386.0576923076923},{""x"":267.3076923076923,""y"":389.9038461538462},{""x"":255.76923076923077,""y"":392.78846153846155},{""x"":246.15384615384616,""y"":393.75},{""x"":235.5769230769231,""y"":392.78846153846155},{""x"":225.96153846153848,""y"":387.9807692307692}]",2025-09-10T11:38:37,v1.0,female,30s,left,smartphone,pending,"",2025-09-10T12:31:35
