drawing_id,drawing_timestamp,user_id,gender,age_group,handedness,device_type,consent_version,trial_index,valence,arousal,trap_result,points
1,2025-09-16T14:49:44,1as8iwft,male,20s,right,pc,v1.0,1,-4,5,,"[{""x"":231.81818181818184,""y"":362.28693181818187},{""x"":231.81818181818184,""y"":362.28693181818187},{""x"":231.81818181818184,""y"":362.28693181818187},{""x"":226.13636363636365,""y"":362.28693181818187},{""x"":214.77272727272728,""y"":362.28693181818187},{""x"":200.00000000000003,""y"":362.28693181818187},{""x"":176.13636363636365,""y"":354.3323863636364},{""x"":153.40909090909093,""y"":332.7414772727273},{""x"":138.63636363636365,""y"":303.19602272727275},{""x"":130.6818181818182,""y"":258.87784090909093},{""x"":129.54545454545456,""y"":215.69602272727275},{""x"":140.90909090909093,""y"":183.87784090909093},{""x"":163.63636363636365,""y"":156.60511363636365},{""x"":197.72727272727275,""y"":139.5596590909091},{""x"":235.22727272727275,""y"":133.87784090909093},{""x"":276.1363636363637,""y"":141.83238636363637},{""x"":317.04545454545456,""y"":165.69602272727275},{""x"":346.5909090909091,""y"":197.51420454545456},{""x"":365.90909090909093,""y"":233.87784090909093},{""x"":377.2727272727273,""y"":271.37784090909093},{""x"":380.68181818181824,""y"":306.6051136363637},{""x"":375.00000000000006,""y"":337.28693181818187},{""x"":357.9545454545455,""y"":361.1505681818182},{""x"":327.2727272727273,""y"":380.46875000000006},{""x"":282.9545454545455,""y"":391.8323863636364},{""x"":242.04545454545456,""y"":391.8323863636364},{""x"":209.09090909090912,""y"":385.01420454545456},{""x"":184.0909090909091,""y"":375.9232954545455},{""x"":168.1818181818182,""y"":370.2414772727273}]"
11,2025-09-16T15:19:42,1as8iwft,male,20s,right,pc,v1.0,1,-8,-2,,"[{""x"":269.31818181818187,""y"":388.4232954545455},{""x"":268.1818181818182,""y"":388.4232954545455},{""x"":267.04545454545456,""y"":388.4232954545455},{""x"":261.3636363636364,""y"":388.4232954545455},{""x"":250.00000000000003,""y"":388.4232954545455},{""x"":234.09090909090912,""y"":388.4232954545455},{""x"":214.77272727272728,""y"":388.4232954545455},{""x"":192.04545454545456,""y"":383.87784090909093},{""x"":164.77272727272728,""y"":369.1051136363637},{""x"":137.5,""y"":342.96875000000006},{""x"":119.31818181818183,""y"":307.7414772727273},{""x"":111.36363636363637,""y"":267.96875},{""x"":111.36363636363637,""y"":227.05965909090912},{""x"":119.31818181818183,""y"":188.42329545454547},{""x"":139.77272727272728,""y"":158.87784090909093},{""x"":170.45454545454547,""y"":137.28693181818184},{""x"":211.36363636363637,""y"":125.92329545454547},{""x"":257.9545454545455,""y"":124.78693181818183},{""x"":301.1363636363637,""y"":138.42329545454547},{""x"":335.22727272727275,""y"":165.69602272727275},{""x"":362.50000000000006,""y"":200.92329545454547},{""x"":384.0909090909091,""y"":241.83238636363637},{""x"":394.31818181818187,""y"":278.19602272727275},{""x"":397.72727272727275,""y"":310.01420454545456},{""x"":394.31818181818187,""y"":338.4232954545455},{""x"":384.0909090909091,""y"":362.28693181818187},{""x"":367.04545454545456,""y"":383.87784090909093},{""x"":339.7727272727273,""y"":403.19602272727275},{""x"":300,""y"":417.96875000000006},{""x"":260.22727272727275,""y"":423.65056818181824},{""x"":221.59090909090912,""y"":423.65056818181824},{""x"":190.90909090909093,""y"":423.65056818181824}]"
2,2025-09-16T14:49:47,1as8iwft,male,20s,right,pc,v1.0,2,10,-5,,"[{""x"":275,""y"":303.76420454545456},{""x"":275,""y"":304.9005681818182},{""x"":275,""y"":304.9005681818182},{""x"":271.5909090909091,""y"":306.03693181818187},{""x"":263.6363636363637,""y"":308.3096590909091},{""x"":251.13636363636365,""y"":308.3096590909091},{""x"":231.81818181818184,""y"":308.3096590909091},{""x"":204.54545454545456,""y"":300.3551136363637},{""x"":173.86363636363637,""y"":276.4914772727273},{""x"":150,""y"":242.40056818181822},{""x"":138.63636363636365,""y"":206.03693181818184},{""x"":136.36363636363637,""y"":171.94602272727275},{""x"":140.90909090909093,""y"":136.71875},{""x"":153.40909090909093,""y"":109.44602272727273},{""x"":175.00000000000003,""y"":87.85511363636364},{""x"":203.40909090909093,""y"":71.94602272727273},{""x"":234.09090909090912,""y"":63.99147727272728},{""x"":262.5,""y"":62.85511363636364},{""x"":284.0909090909091,""y"":68.53693181818183},{""x"":302.2727272727273,""y"":83.3096590909091},{""x"":318.1818181818182,""y"":104.90056818181819},{""x"":323.8636363636364,""y"":131.03693181818184},{""x"":326.1363636363637,""y"":163.99147727272728},{""x"":322.72727272727275,""y"":198.08238636363637},{""x"":312.5,""y"":227.62784090909093},{""x"":295.4545454545455,""y"":250.35511363636365},{""x"":272.72727272727275,""y"":263.9914772727273},{""x"":246.59090909090912,""y"":269.6732954545455},{""x"":222.72727272727275,""y"":270.8096590909091},{""x"":205.6818181818182,""y"":270.8096590909091},{""x"":193.1818181818182,""y"":269.6732954545455},{""x"":185.22727272727275,""y"":267.4005681818182}]"
12,2025-09-16T15:19:43,1as8iwft,male,20s,right,pc,v1.0,2,-1,7,,"[{""x"":267.04545454545456,""y"":391.8323863636364},{""x"":267.04545454545456,""y"":391.8323863636364},{""x"":264.7727272727273,""y"":391.8323863636364},{""x"":259.0909090909091,""y"":391.8323863636364},{""x"":247.72727272727275,""y"":391.8323863636364},{""x"":221.59090909090912,""y"":391.8323863636364},{""x"":185.22727272727275,""y"":391.8323863636364},{""x"":148.86363636363637,""y"":382.7414772727273},{""x"":112.50000000000001,""y"":358.87784090909093},{""x"":81.81818181818183,""y"":319.1051136363637},{""x"":65.90909090909092,""y"":267.96875},{""x"":61.36363636363637,""y"":221.37784090909093},{""x"":65.90909090909092,""y"":181.60511363636365},{""x"":81.81818181818183,""y"":145.24147727272728},{""x"":110.22727272727273,""y"":121.37784090909092},{""x"":152.27272727272728,""y"":106.60511363636364},{""x"":200.00000000000003,""y"":102.0596590909091},{""x"":238.63636363636365,""y"":111.15056818181819},{""x"":270.4545454545455,""y"":133.87784090909093},{""x"":296.5909090909091,""y"":164.5596590909091},{""x"":311.3636363636364,""y"":197.51420454545456},{""x"":317.04545454545456,""y"":230.46875000000003},{""x"":317.04545454545456,""y"":262.28693181818187},{""x"":310.22727272727275,""y"":289.5596590909091},{""x"":293.1818181818182,""y"":312.28693181818187},{""x"":270.4545454545455,""y"":328.19602272727275},{""x"":240.90909090909093,""y"":338.4232954545455},{""x"":206.81818181818184,""y"":344.1051136363637},{""x"":177.27272727272728,""y"":344.1051136363637},{""x"":154.54545454545456,""y"":344.1051136363637}]"
3,2025-09-16T14:49:49,1as8iwft,male,20s,right,pc,v1.0,3,7,-9,,"[{""x"":271.5909090909091,""y"":390.12784090909093},{""x"":271.5909090909091,""y"":390.12784090909093},{""x"":268.1818181818182,""y"":390.12784090909093},{""x"":257.9545454545455,""y"":390.12784090909093},{""x"":235.22727272727275,""y"":390.12784090909093},{""x"":200.00000000000003,""y"":390.12784090909093},{""x"":160.22727272727275,""y"":385.5823863636364},{""x"":121.59090909090911,""y"":366.26420454545456},{""x"":87.50000000000001,""y"":331.03693181818187},{""x"":67.04545454545455,""y"":283.3096590909091},{""x"":60.227272727272734,""y"":238.99147727272728},{""x"":67.04545454545455,""y"":192.4005681818182},{""x"":90.90909090909092,""y"":150.35511363636365},{""x"":125.00000000000001,""y"":126.49147727272728},{""x"":170.45454545454547,""y"":111.71875000000001},{""x"":218.1818181818182,""y"":103.76420454545456},{""x"":264.7727272727273,""y"":108.3096590909091},{""x"":311.3636363636364,""y"":128.76420454545456},{""x"":343.1818181818182,""y"":163.99147727272728},{""x"":365.90909090909093,""y"":210.58238636363637},{""x"":376.1363636363637,""y"":263.9914772727273},{""x"":378.40909090909093,""y"":312.8551136363637},{""x"":368.1818181818182,""y"":353.76420454545456},{""x"":346.5909090909091,""y"":390.12784090909093},{""x"":310.22727272727275,""y"":423.0823863636364},{""x"":262.5,""y"":443.53693181818187},{""x"":219.31818181818184,""y"":449.21875000000006},{""x"":184.0909090909091,""y"":448.08238636363643},{""x"":159.0909090909091,""y"":443.53693181818187},{""x"":143.1818181818182,""y"":438.9914772727273},{""x"":131.81818181818184,""y"":433.3096590909091}]"
13,2025-09-16T15:19:45,1as8iwft,male,20s,right,pc,v1.0,3,-5,-4,,"[{""x"":310.22727272727275,""y"":458.87784090909093},{""x"":310.22727272727275,""y"":458.87784090909093},{""x"":309.0909090909091,""y"":458.87784090909093},{""x"":302.2727272727273,""y"":458.87784090909093},{""x"":288.6363636363637,""y"":458.87784090909093},{""x"":260.22727272727275,""y"":458.87784090909093},{""x"":220.45454545454547,""y"":453.19602272727275},{""x"":168.1818181818182,""y"":421.37784090909093},{""x"":119.31818181818183,""y"":367.96875000000006},{""x"":93.18181818181819,""y"":304.3323863636364},{""x"":85.22727272727273,""y"":247.51420454545456},{""x"":90.90909090909092,""y"":198.6505681818182},{""x"":110.22727272727273,""y"":160.01420454545456},{""x"":148.86363636363637,""y"":138.42329545454547},{""x"":197.72727272727275,""y"":128.19602272727275},{""x"":239.77272727272728,""y"":131.60511363636365},{""x"":284.0909090909091,""y"":148.6505681818182},{""x"":320.4545454545455,""y"":179.33238636363637},{""x"":339.7727272727273,""y"":214.55965909090912},{""x"":348.8636363636364,""y"":254.33238636363637},{""x"":345.4545454545455,""y"":294.1051136363637},{""x"":331.81818181818187,""y"":331.6051136363637},{""x"":309.0909090909091,""y"":364.5596590909091},{""x"":280.6818181818182,""y"":388.4232954545455},{""x"":240.90909090909093,""y"":403.19602272727275},{""x"":205.6818181818182,""y"":408.87784090909093},{""x"":182.95454545454547,""y"":405.46875000000006}]"
4,2025-09-16T14:49:58,1as8iwft,male,20s,right,pc,v1.0,4,-3,5,,"[{""x"":265.90909090909093,""y"":354.9005681818182},{""x"":265.90909090909093,""y"":356.03693181818187},{""x"":254.54545454545456,""y"":356.03693181818187},{""x"":232.95454545454547,""y"":356.03693181818187},{""x"":203.40909090909093,""y"":350.3551136363637},{""x"":164.77272727272728,""y"":318.53693181818187},{""x"":134.0909090909091,""y"":256.0369318181818},{""x"":125.00000000000001,""y"":188.99147727272728},{""x"":135.22727272727275,""y"":123.08238636363637},{""x"":165.90909090909093,""y"":68.53693181818183},{""x"":209.09090909090912,""y"":42.40056818181819},{""x"":256.8181818181818,""y"":41.26420454545455},{""x"":303.40909090909093,""y"":62.85511363636364},{""x"":335.22727272727275,""y"":103.76420454545456},{""x"":347.72727272727275,""y"":151.49147727272728},{""x"":328.40909090909093,""y"":220.80965909090912},{""x"":265.90909090909093,""y"":309.44602272727275},{""x"":170.45454545454547,""y"":400.3551136363637},{""x"":80.68181818181819,""y"":470.8096590909091}]"
14,2025-09-16T15:19:47,1as8iwft,male,20s,right,pc,v1.0,4,-7,-6,,"[{""x"":304.54545454545456,""y"":421.37784090909093},{""x"":304.54545454545456,""y"":421.37784090909093},{""x"":303.40909090909093,""y"":422.51420454545456},{""x"":301.1363636363637,""y"":422.51420454545456},{""x"":290.90909090909093,""y"":423.65056818181824},{""x"":264.7727272727273,""y"":424.78693181818187},{""x"":227.27272727272728,""y"":423.65056818181824},{""x"":186.36363636363637,""y"":415.69602272727275},{""x"":153.40909090909093,""y"":398.65056818181824},{""x"":126.13636363636365,""y"":363.4232954545455},{""x"":106.81818181818183,""y"":316.8323863636364},{""x"":106.81818181818183,""y"":272.51420454545456},{""x"":119.31818181818183,""y"":230.46875000000003},{""x"":148.86363636363637,""y"":194.10511363636365},{""x"":192.04545454545456,""y"":171.37784090909093},{""x"":240.90909090909093,""y"":162.28693181818184},{""x"":289.7727272727273,""y"":170.24147727272728},{""x"":332.9545454545455,""y"":198.6505681818182},{""x"":362.50000000000006,""y"":237.28693181818184},{""x"":378.40909090909093,""y"":274.78693181818187},{""x"":385.22727272727275,""y"":312.28693181818187},{""x"":381.81818181818187,""y"":344.1051136363637},{""x"":364.7727272727273,""y"":371.37784090909093},{""x"":337.50000000000006,""y"":395.2414772727273},{""x"":301.1363636363637,""y"":414.5596590909091},{""x"":261.3636363636364,""y"":427.0596590909091},{""x"":231.81818181818184,""y"":435.01420454545456},{""x"":209.09090909090912,""y"":439.5596590909091},{""x"":193.1818181818182,""y"":442.96875000000006},{""x"":184.0909090909091,""y"":445.2414772727273}]"
5,2025-09-16T14:50:05,1as8iwft,male,20s,right,pc,v1.0,5,4,2,,"[{""x"":254.54545454545456,""y"":434.44602272727275},{""x"":254.54545454545456,""y"":434.44602272727275},{""x"":252.2727272727273,""y"":434.44602272727275},{""x"":230.68181818181822,""y"":434.44602272727275},{""x"":210.22727272727275,""y"":432.1732954545455},{""x"":179.54545454545456,""y"":420.8096590909091},{""x"":150,""y"":401.4914772727273},{""x"":127.27272727272728,""y"":374.21875000000006},{""x"":110.22727272727273,""y"":344.6732954545455},{""x"":97.72727272727273,""y"":313.9914772727273},{""x"":92.04545454545455,""y"":283.3096590909091},{""x"":97.72727272727273,""y"":253.76420454545456},{""x"":113.63636363636364,""y"":223.08238636363637},{""x"":142.04545454545456,""y"":193.53693181818184},{""x"":179.54545454545456,""y"":163.99147727272728},{""x"":217.04545454545456,""y"":143.53693181818184},{""x"":251.13636363636365,""y"":132.17329545454547},{""x"":281.81818181818187,""y"":127.62784090909092},{""x"":310.22727272727275,""y"":129.9005681818182},{""x"":337.50000000000006,""y"":140.12784090909093},{""x"":359.0909090909091,""y"":156.03693181818184},{""x"":376.1363636363637,""y"":175.35511363636365},{""x"":387.50000000000006,""y"":198.08238636363637},{""x"":394.31818181818187,""y"":224.21875000000003},{""x"":396.5909090909091,""y"":250.35511363636365},{""x"":396.5909090909091,""y"":277.62784090909093},{""x"":390.90909090909093,""y"":304.9005681818182},{""x"":380.68181818181824,""y"":329.9005681818182},{""x"":367.04545454545456,""y"":350.3551136363637},{""x"":350.00000000000006,""y"":368.53693181818187},{""x"":332.9545454545455,""y"":383.3096590909091},{""x"":313.6363636363637,""y"":396.94602272727275},{""x"":290.90909090909093,""y"":410.5823863636364},{""x"":268.1818181818182,""y"":420.8096590909091},{""x"":244.31818181818184,""y"":428.76420454545456},{""x"":221.59090909090912,""y"":432.1732954545455},{""x"":201.13636363636365,""y"":435.5823863636364},{""x"":181.81818181818184,""y"":436.71875000000006},{""x"":164.77272727272728,""y"":436.71875000000006},{""x"":150,""y"":433.3096590909091},{""x"":137.5,""y"":426.4914772727273},{""x"":128.4090909090909,""y"":417.40056818181824},{""x"":121.59090909090911,""y"":408.3096590909091},{""x"":117.04545454545456,""y"":401.4914772727273},{""x"":114.77272727272728,""y"":396.94602272727275},{""x"":114.77272727272728,""y"":394.6732954545455},{""x"":113.63636363636364,""y"":392.40056818181824},{""x"":114.77272727272728,""y"":391.26420454545456},{""x"":115.90909090909092,""y"":388.9914772727273},{""x"":118.18181818181819,""y"":387.8551136363637},{""x"":119.31818181818183,""y"":387.8551136363637}]"
15,2025-09-16T15:19:49,1as8iwft,male,20s,right,pc,v1.0,5,7,-3,,"[{""x"":302.2727272727273,""y"":456.6051136363637},{""x"":302.2727272727273,""y"":456.6051136363637},{""x"":300,""y"":457.7414772727273},{""x"":295.4545454545455,""y"":458.87784090909093},{""x"":280.6818181818182,""y"":460.01420454545456},{""x"":256.8181818181818,""y"":460.01420454545456},{""x"":220.45454545454547,""y"":458.87784090909093},{""x"":181.81818181818184,""y"":448.65056818181824},{""x"":147.72727272727275,""y"":416.8323863636364},{""x"":122.72727272727273,""y"":361.1505681818182},{""x"":114.77272727272728,""y"":282.7414772727273},{""x"":125.00000000000001,""y"":205.46875000000003},{""x"":156.81818181818184,""y"":150.92329545454547},{""x"":204.54545454545456,""y"":113.42329545454547},{""x"":237.50000000000003,""y"":99.78693181818183},{""x"":288.6363636363637,""y"":98.65056818181819},{""x"":363.6363636363637,""y"":111.15056818181819},{""x"":425.00000000000006,""y"":148.6505681818182},{""x"":469.31818181818187,""y"":196.37784090909093},{""x"":488.6363636363637,""y"":253.19602272727275},{""x"":492.04545454545456,""y"":308.87784090909093},{""x"":478.40909090909093,""y"":355.46875000000006},{""x"":446.5909090909091,""y"":399.78693181818187},{""x"":400.00000000000006,""y"":435.01420454545456},{""x"":344.31818181818187,""y"":448.65056818181824},{""x"":285.22727272727275,""y"":447.51420454545456},{""x"":243.18181818181822,""y"":438.4232954545455},{""x"":220.45454545454547,""y"":428.19602272727275},{""x"":198.86363636363637,""y"":416.8323863636364}]"
